广东频道,#genre#
四川卫视,http://192.168.68.123:8848/rtp/239.77.0.159:5146
四川卫视,http://192.168.68.123:8848/rtp/239.77.0.163:5146
四川卫视,http://192.168.68.123:8848/rtp/239.77.1.215:5146

重庆卫视,http://192.168.68.123:8848/rtp/239.77.0.182:5146
重庆卫视,http://192.168.68.123:8848/rtp/239.77.1.162:5146

安徽卫视,http://192.168.68.123:8848/rtp/239.77.0.183:5146
安徽卫视,http://192.168.68.123:8848/rtp/239.77.1.92:5146
安徽卫视,http://192.168.68.123:8848/rtp/239.77.1.157:5146

黑龙江卫视,http://192.168.68.123:8848/rtp/239.77.1.6:5146
黑龙江卫视,http://192.168.68.123:8848/rtp/239.77.0.93:5146
黑龙江卫视,http://192.168.68.123:8848/rtp/239.77.0.124:5146
黑龙江卫视,http://192.168.68.123:8848/rtp/239.77.1.179:5146



湖北卫视,http://192.168.68.123:8848/rtp/239.77.0.95:5146
湖北卫视,http://192.168.68.123:8848/rtp/239.77.1.93:5146
湖北卫视,http://192.168.68.123:8848/rtp/239.77.0.128:5146
湖北卫视,http://192.168.68.123:8848/rtp/239.77.1.174:5146

东南卫视,http://192.168.68.123:8848/rtp/239.77.0.146:5146
东南卫视,http://192.168.68.123:8848/rtp/239.77.1.104:5146


河北卫视,http://192.168.68.123:8848/rtp/239.77.0.148:5146
河北卫视,http://192.168.68.123:8848/rtp/239.77.1.214:5146

江西卫视,http://192.168.68.123:8848/rtp/239.77.0.149:5146
江西卫视,http://192.168.68.123:8848/rtp/239.77.1.219:5146

吉林卫视,http://192.168.68.123:8848/rtp/239.77.0.150:5146
吉林卫视,http://192.168.68.123:8848/rtp/239.77.1.111:5146

广西卫视,http://192.168.68.123:8848/rtp/239.77.0.139:5146
广西卫视,http://192.168.68.123:8848/rtp/239.253.43.36:5146

甘肃卫视,http://192.168.68.123:8848/rtp/239.77.0.189:5146

云南卫视,http://192.168.68.123:8848/rtp/239.253.43.100:5146
云南卫视,http://192.168.68.123:8848/rtp/239.253.43.37:5146

海南卫视,http://192.168.68.123:8848/rtp/239.253.43.101:5146
海南卫视,http://192.168.68.123:8848/rtp/239.253.43.35:5146

贵州卫视,http://192.168.68.123:8848/rtp/239.77.0.230:5146
贵州卫视,http://192.168.68.123:8848/rtp/239.77.1.221:5146

金鹰纪实,http://192.168.68.123:8848/rtp/239.77.0.162:5146
金鹰纪实,http://192.168.68.123:8848/rtp/239.77.0.160:5146

金鹰纪实,http://192.168.68.123:8848/rtp/239.77.1.217:5146
金鹰卡通,http://192.168.68.123:8848/rtp/239.77.0.164:5146

纪实人文,http://192.168.68.123:8848/rtp/239.77.1.216:5146
纪实人文,http://192.168.68.123:8848/rtp/239.77.0.147:5146


央视频道,#genre#

CCTV-1综合,http://192.168.68.123:8848/rtp/239.77.0.129:5146
CCTV-1综合,http://192.168.68.123:8848/rtp/239.77.1.144:5146
CCTV -1综合,http://192.168.68.123:8848/rtp/239.77.0.86:5146
CCTV-1综合,http://192.168.68.123:8848/rtp/239.77.1.17:5146

CCTV-2财*,http://192.168.68.123:8848/rtp/239.253.43.17:5146
CCTV-2财*,http://192.168.68.123:8848/rtp/239.77.1.158:5146
CCTV -2财*,http://192.168.68.123:8848/rtp/239.77.0.137:5146

CCTV-3综艺,http://192.168.68.123:8848/rtp/239.77.0.175:5146
CCTV-3综艺,http://192.168.68.123:8848/rtp/239.77.0.169:5146

CCTV-4中文国际,http://192.168.68.123:8848/rtp/239.77.1.166:5146
CCTV-4中文国际,http://192.168.68.123:8848/rtp/239.77.1.163:5146
CCTV-4中文国际,http://192.168.68.123:8848/rtp/239.77.0.78:5146

CCTV-5体育,http://192.168.68.123:8848/rtp/239.77.0.177:5146
CCTV-5体育,http://192.168.68.123:8848/rtp/239.77.0.170:5146
CCTV-5＋体育赛事,http://192.168.68.123:8848/rtp/239.77.0.87:5146
CCTV-5＋,http://192.168.68.123:8848/rtp/239.77.1.147:5146
CCTV-5＋,http://192.168.68.123:8848/rtp/239.77.1.31:5146

CCTV-6电影,http://192.168.68.123:8848/rtp/239.77.0.178:5146
CCTV-6电影,http://192.168.68.123:8848/rtp/239.77.0.171:5146

CCTV-7国防军事,http://192.168.68.123:8848/rtp/239.77.1.167:5146
CCTV-7国防军事,http://192.168.68.123:8848/rtp/239.77.1.159:5146
CCTV-7军事农业,http://192.168.68.123:8848/rtp/239.77.0.138:5146

CCTV-8电视剧,http://192.168.68.123:8848/rtp/239.77.0.181:5146
CCTV-8电视剧,http://192.168.68.123:8848/rtp/239.77.0.172:5146

CCTV-9纪录,http://192.168.68.123:8848/rtp/239.77.1.160:5146
CCTV-9纪录,http://192.168.68.123:8848/rtp/239.77.1.168:5146
CCTV-9纪录,http://192.168.68.123:8848/rtp/239.77.0.135:5146

CCTV-10科教,http://192.168.68.123:8848/rtp/239.77.1.169:5146
CCTV-10科教,http://192.168.68.123:8848/rtp/239.77.1.113:5146
CCTV-10科教,http://192.168.68.123:8848/rtp/239.77.0.134:5146

CCTV-11戏曲,http://192.168.68.123:8848/rtp/239.77.1.238:5146

CCTV-12社会与法,http://192.168.68.123:8848/rtp/239.77.1.170:5146
CCTV-12社会与法,http://192.168.68.123:8848/rtp/239.77.1.109:5146
CCTV-12社会与法,http://192.168.68.123:8848/rtp/239.77.0.136:5146

CCTV-13新闻,http://192.168.68.123:8848/rtp/239.253.43.196:5146
CCTV-13新闻,http://192.168.68.123:8848/rtp/239.77.0.188:5146

CCTV-14少儿,http://192.168.68.123:8848/rtp/239.77.1.171:5146
CCTV-14少儿,http://192.168.68.123:8848/rtp/239.77.1.161:5146
CCTV-14少儿,http://192.168.68.123:8848/rtp/239.77.0.133:5146


